tweet_id,favorites,retweets
857393404942143489,5431,1474
857263160327368704,18630,4077
857214891891077121,207,16
857062103051644929,0,152
857029823797047296,17447,3585
856543823941562368,15195,2614
856526610513747968,11073,1703
856288084350160898,496,15
856282028240666624,25811,5715
855862651834028034,311,22
855860136149123072,4537,877
855857698524602368,11084,1906
855851453814013952,42830,16517
855818117272018944,24801,4943
855459453768019968,27713,7474
855245323840757760,0,5415
855138241867124737,0,39
854732716440526848,21208,5523
854482394044301312,27222,6193
854365224396361728,17600,4270
854120357044912130,29866,6798
854010172552949760,15185,2877
853760880890318849,26712,5259
853639147608842240,32321,9121
853299958564483072,14495,3250
852936405516943360,0,1828
852912242202992640,8446,1653
852672615818899456,13989,1987
852553447878664193,15257,3200
852311364735569921,31058,9111
852226086759018497,18751,6259
852189679701164033,10789,1456
851861385021730816,0,19
851591660324737024,15315,3215
851464819735769094,22815,6496
851224888060895234,19491,5303
850753642995093505,28864,8331
850380195714523136,12360,2399
850333567704068097,3269,306
850145622816686080,15379,3489
850019790995546112,19232,4500
849776966551130114,28613,7012
849668094696017920,0,4579
849412302885593088,14997,2910
849336543269576704,10798,1735
849051919805034497,39965,7848
848690551926992896,23843,4015
848324959059550208,23390,4287
848213670039564288,7730,669
848212111729840128,15408,2801
847978865427394560,0,3020
847971574464610304,0,410
847962785489326080,22267,4714
847842811428974592,5128,1218
847617282490613760,6633,383
847606175596138505,17790,3174
847251039262605312,19445,4031
847157206088847362,18807,5393
847116187444137987,20340,2955
846874817362120707,19050,3646
846514051647705089,42177,10706
846505985330044928,13398,2848
846153765933735936,29865,8416
846139713627017216,29456,9400
846042936437604353,15168,2664
845812042753855489,27737,8079
845677943972139009,23970,4496
845397057150107648,7272,1657
845306882940190720,22145,5015
845098359547420673,0,7129
844979544864018432,12959,2372
844973813909606400,14280,2948
844580511645339650,15636,2894
844223788422217728,13010,2043
843981021012017153,14462,2770
843856843873095681,20438,4299
843604394117681152,16091,2555
843235543001513987,20468,5583
842846295480000512,14573,3410
842765311967449089,6434,1196
842535590457499648,17305,3276
842163532590374912,23304,5415
842115215311396866,13326,2837
841833993020538882,0,14001
841680585030541313,24604,7353
841439858740625411,12033,3414
841320156043304961,18891,5171
841314665196081154,15108,4354
841077006473256960,21838,5004
840761248237133825,0,1652
840728873075638272,0,15025
840698636975636481,170,2
840696689258311684,11744,907
840632337062862849,8610,1652
840370681858686976,15719,4285
840268004936019968,18367,5375
839990271299457024,12843,2125
839549326359670784,26188,7283
839290600511926273,0,137
839239871831150596,25862,6098
838952994649550848,18815,3760
838921590096166913,10658,1920
838916489579200512,0,31
838831947270979586,0,10349
